City_ID,City,Country,Max Temp F°,Weather Description,Lat,Lng,Hotel Name
0,Talnakh,RU,71.51,overcast clouds,69.4865,88.3972,Talnakh Hotel
2,Bethel,US,72.41,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
3,Albany,US,72.21,clear sky,42.6001,-73.9662, 
5,Lumphat,KH,75.27,overcast clouds,13.4878,106.9816,Lumphat Homestay
6,Kapit,MY,82.56,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
7,Morozovsk,RU,76.93,broken clouds,48.3539,41.8261,Gostinitsa
9,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Richards Bay,ZA,60.1,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
13,Cairns,AU,78.12,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
14,Rikitea,PF,74.3,broken clouds,-23.1203,-134.9692,People ThankYou
15,Itaqui,BR,63.48,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
16,Kahului,US,83.46,light rain,20.8947,-156.47,Maui Seaside Hotel
17,Yerbogachen,RU,68.65,overcast clouds,61.2767,108.0108, 
19,Sola,VU,78.33,clear sky,-13.8833,167.55,Leumerus Bungalows
21,Shebunino,RU,75.36,overcast clouds,46.4339,141.8603, 
22,Shenjiamen,CN,82.02,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
23,Ust-Ishim,RU,62.02,overcast clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
24,East London,ZA,63.03,clear sky,-33.0153,27.9116,Tu Casa
26,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
29,Namtsy,RU,68.11,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
31,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
33,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
34,Hobart,AU,60.06,moderate rain,-42.8794,147.3294,Mantra on Collins Hobart
36,Sitka,US,62.49,light rain,57.0531,-135.33,Westmark Sitka
37,Lumberton,US,78.46,few clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
40,Kandrian,PG,80.38,light rain,-6.2167,149.55,Kandrian Station
44,San Juan,AR,64.54,overcast clouds,-31.5375,-68.5364,Hotel Provincial
45,Vladaia,RO,73.06,overcast clouds,44.35,23.0333, 
47,Barcelos,PT,65.84,few clouds,41.5388,-8.6151,Hotel Do Terço
48,Arraial Do Cabo,BR,68.31,few clouds,-22.9661,-42.0278,Pousada Porto Praia
49,Roquetas De Mar,ES,75.2,clear sky,36.7642,-2.6148,Hotel Don Ángel
50,Butaritari,KI,83.34,few clouds,3.0707,172.7902,Isles Sunset Lodge
53,Mayo,US,80.24,clear sky,38.8876,-76.5119,Resorts Resource Group International
54,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Nenjiang,CN,68.41,clear sky,49.1833,125.2167,Nenjiang Apartment
58,Prokuplje,RS,69.08,overcast clouds,43.2342,21.5881,Дом ученика средњих школа Прокупље
60,Jinka,ET,67.59,overcast clouds,5.65,36.65, 
61,Port Alfred,ZA,61.48,few clouds,-33.5906,26.891,The Halyards Hotel
62,Hambantota,LK,79.03,overcast clouds,6.1241,81.1185,Bungalow 63
64,Thompson,CA,64.56,smoke,55.7435,-97.8558,Burntwood Hotel
67,Sao Filipe,CV,77.86,overcast clouds,14.8961,-24.4956,Hotel Xaguate
68,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
69,Hobyo,SO,75.72,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
70,Pisco,PE,61.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
71,Gigmoto,PH,86.29,broken clouds,13.7796,124.39,Cj's Travellers Inn
72,Jamestown,US,71.24,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
74,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Sampit,ID,79.48,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
76,Atuona,PF,77.97,few clouds,-9.8,-139.0333,Villa Enata
77,Berdigestyakh,RU,73.56,scattered clouds,62.0989,126.6992, 
79,Airai,TL,68.36,broken clouds,-8.9266,125.4092,Juvinal Martin
80,Savannah Bight,HN,82.99,clear sky,16.45,-85.85,Villa on Dunbar Rock
81,Houma,US,82.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
82,Jinchang,CN,76.66,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
83,Antsohihy,MG,66.15,clear sky,-14.8796,47.9875,Hotel de Ville
84,Shahrud,IR,69.67,clear sky,36.4182,54.9763,Royal Hotel
86,Yanam,IN,84.6,overcast clouds,16.7333,82.2167,The Regency Hotel
87,Doume,CM,67.17,broken clouds,4.2333,13.45,Hotel Universel
88,Harper,LR,75.42,broken clouds,4.375,-7.7169,Screensaver
90,Sulangan,PH,83.53,overcast clouds,11.1373,123.7228,Maia's Beach Resort
93,Mae Hong Son,TH,77.14,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
95,San Patricio,US,83.12,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
97,Basoko,CD,73.36,overcast clouds,1.2391,23.616,Jackyna Hotel
102,Haapiti,PF,82.13,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
103,Yumen,CN,77.22,broken clouds,40.2833,97.2, 
105,Baherden,TM,83.35,clear sky,38.4362,57.4316, 
106,Labrea,BR,78.75,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
107,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
108,Yellowknife,CA,63.28,smoke,62.456,-114.3525,The Explorer Hotel
109,Hervey Bay,AU,68.11,broken clouds,-25.2986,152.8535,Shelly Bay Resort
110,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
111,Port Elizabeth,ZA,61.09,light rain,-33.918,25.5701,39 On Nile Guest House
116,Poitiers,FR,61.25,overcast clouds,46.5833,0.3333,ibis Poitiers Centre
117,Hilo,US,82.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
118,Garowe,SO,73.45,overcast clouds,8.4054,48.4845,Curubo Hotel
120,Inhambane,MZ,64.78,clear sky,-23.865,35.3833,Oceano
121,Nyurba,RU,69.21,clear sky,63.2842,118.3319,Gostinitsa Alrosa
122,Kharan,PK,83.46,clear sky,28.5833,65.4167,Dil Aram Bangla
124,Pittsfield,US,68.76,few clouds,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
125,Arcata,US,68.2,few clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
126,Placido De Castro,BR,75.76,clear sky,-10.3353,-67.1856,Hotel Carioca
127,Baoding,CN,79.29,light rain,38.8511,115.4903,Xiu Lan Hotel
128,Dauriya,RU,70.84,clear sky,49.9333,116.8667, 
129,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
130,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
131,Longhua,CN,81.07,light rain,23.6137,114.1919,Huadu Hotel
132,Ribeira Grande,PT,73.49,few clouds,38.5167,-28.7,Quinta da Meia Eira
133,Nacala,MZ,68.85,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
135,Vostok,RU,74.84,moderate rain,46.4856,135.8833, 
137,Chabahar,IR,83.37,few clouds,25.2919,60.643,هتل گدروشیا
138,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
139,Lincoln,US,86.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
140,La Baule-Escoublac,FR,62.26,broken clouds,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
141,Ponta Do Sol,PT,77.0,scattered clouds,32.6667,-17.1,Hotel do Campo
143,Preobrazheniye,RU,81.05,overcast clouds,42.9019,133.9064,Campsite Orlan
144,Kutum,SD,75.51,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
145,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
