City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Raudeberg,NO,2021-08-04 03:04:11,61.9875,5.1352,51.19,82,100,6.93
1,Yei,SS,2021-08-04 03:04:11,4.095,30.6779,64.13,95,48,2.53
2,Tasiilaq,GL,2021-08-04 03:04:12,65.6145,-37.6368,44.76,86,100,2.51
3,Punta Arenas,CL,2021-08-04 03:04:12,-53.15,-70.9167,42.12,75,90,9.22
4,Mar Del Plata,AR,2021-08-04 03:04:13,-38.0023,-57.5575,54.12,53,75,1.99
5,Georgetown,MY,2021-08-04 03:01:31,5.4112,100.3354,87.89,77,20,2.3
6,Hobart,AU,2021-08-04 03:00:07,-42.8794,147.3294,57.06,52,40,3.0
7,Yelizovo,RU,2021-08-04 03:04:14,53.1873,158.3805,68.14,32,20,13.42
8,Thinadhoo,MV,2021-08-04 03:04:14,0.5333,72.9333,81.97,76,100,8.93
9,Busselton,AU,2021-08-04 03:04:15,-33.65,115.3333,57.04,66,61,1.74
10,Jamestown,US,2021-08-04 03:04:15,42.097,-79.2353,64.04,76,1,2.51
11,Kimbe,PG,2021-08-04 03:04:16,-5.5502,150.1429,88.12,59,9,6.31
12,Bengkulu,ID,2021-08-04 03:04:16,-3.8004,102.2655,81.95,74,100,5.32
13,Port Alfred,ZA,2021-08-04 03:04:16,-33.5906,26.891,61.93,45,0,12.08
14,Butaritari,KI,2021-08-04 03:04:17,3.0707,172.7902,83.44,69,78,12.62
15,Talnakh,RU,2021-08-04 03:04:17,69.4865,88.3972,74.61,46,0,10.27
16,Albany,US,2021-08-04 03:04:17,42.6001,-73.9662,63.55,85,100,2.62
17,Nikolskoye,RU,2021-08-04 03:04:18,59.7035,30.7861,53.02,94,13,5.41
18,Vaini,TO,2021-08-04 03:04:18,-21.2,-175.2,73.56,78,40,12.66
19,Sao Jose Da Coroa Grande,BR,2021-08-04 03:04:19,-8.8978,-35.1478,72.16,89,81,7.43
20,Tarko-Sale,RU,2021-08-04 03:04:19,64.9225,77.785,64.47,71,100,7.72
21,Atuona,PF,2021-08-04 03:04:19,-9.8,-139.0333,77.58,73,69,15.5
22,Nizwa,OM,2021-08-04 03:04:20,22.9333,57.5333,90.84,36,4,0.31
23,Klaksvik,FO,2021-08-04 03:04:20,62.2266,-6.589,50.92,88,100,5.53
24,Santos,BR,2021-08-04 03:04:20,-23.9608,-46.3336,65.97,26,99,1.99
25,Ipanema,BR,2021-08-04 03:04:21,-30.1391,-51.2244,53.65,97,90,4.61
26,Mataura,NZ,2021-08-04 03:04:21,-46.1927,168.8643,46.47,65,100,4.25
27,San Jeronimo,PE,2021-08-04 03:04:22,-11.9472,-75.2829,48.72,65,100,2.93
28,Esperance,AU,2021-08-04 03:04:22,-33.8667,121.9,57.04,71,91,4.88
29,Carnarvon,AU,2021-08-04 03:04:22,-24.8667,113.6333,67.84,33,0,20.11
30,Shitanjing,CN,2021-08-04 03:04:23,39.2342,106.3439,79.74,19,100,17.29
31,Kapaa,US,2021-08-04 03:04:23,22.0752,-159.319,84.18,77,75,5.01
32,Masvingo,ZW,2021-08-04 03:00:12,-20.0637,30.8277,49.05,79,0,3.67
33,Turukhansk,RU,2021-08-04 03:04:24,65.8167,87.9833,71.92,57,8,8.99
34,Petropavlovsk-Kamchatskiy,RU,2021-08-04 03:04:24,53.0452,158.6483,66.79,32,20,13.42
35,Kousseri,CM,2021-08-04 03:04:25,12.0769,15.0306,76.32,83,100,6.71
36,Severo-Kurilsk,RU,2021-08-04 03:04:25,50.6789,156.125,54.07,69,100,18.54
37,East London,ZA,2021-08-04 03:04:25,-33.0153,27.9116,67.32,25,0,10.09
