City_ID,City,Country,Lat,Lng,Max Temp F°,Humidity %,Cloudiness %,Wind Speed mph,Weather Description
0,Faya,SA,18.3851,42.4509,64.51,71,10,5.37,clear sky
1,Tiksi,RU,71.6872,128.8694,45.07,72,76,10.36,broken clouds
2,Torbay,CA,47.6666,-52.7314,62.58,85,20,20.71,few clouds
3,Saldanha,ZA,-33.0117,17.9442,48.25,90,9,7.18,clear sky
4,Atuona,PF,-9.8,-139.0333,77.58,73,69,15.5,light rain
5,Port Alfred,ZA,-33.5906,26.891,61.93,45,0,12.08,clear sky
6,Longyearbyen,SJ,78.2186,15.6401,46.24,66,40,12.66,scattered clouds
7,East London,ZA,-33.0153,27.9116,67.32,25,0,10.09,clear sky
8,Kodiak,US,57.79,-152.4072,62.11,72,90,8.05,overcast clouds
9,Sartell,US,45.6216,-94.2069,75.67,60,1,4.0,haze
10,Rikitea,PF,-23.1203,-134.9692,70.16,62,64,14.14,broken clouds
11,Airai,TL,-8.9266,125.4092,75.31,41,100,4.92,overcast clouds
12,Santa Cruz De Tenerife,ES,28.4682,-16.2546,72.21,84,75,1.01,broken clouds
13,Iqaluit,CA,63.7506,-68.5145,44.33,87,75,15.01,broken clouds
14,Tiarei,PF,-17.5333,-149.3333,82.0,78,15,11.99,few clouds
15,Ushuaia,AR,-54.8,-68.3,40.66,65,75,3.44,broken clouds
16,Hasaki,JP,35.7333,140.8333,95.29,72,65,8.08,broken clouds
17,Mataura,NZ,-46.1927,168.8643,46.47,65,100,4.25,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,68.29,83,75,8.05,broken clouds
19,Cape Canaveral,US,28.4058,-80.6048,77.25,92,40,9.22,scattered clouds
20,Mantua,IT,45.1667,10.7833,70.84,83,100,0.43,light rain
21,Totness,SR,5.8833,-56.3167,76.53,85,14,2.59,few clouds
22,Leningradskiy,RU,69.3833,178.4167,40.08,100,100,3.53,overcast clouds
23,Druzhnaya Gorka,RU,59.2761,30.1425,51.19,96,30,5.17,scattered clouds
24,Jamestown,US,42.097,-79.2353,61.92,89,10,2.51,clear sky
25,Hithadhoo,MV,-0.6,73.0833,81.82,75,100,7.9,overcast clouds
26,Kolda,SN,12.8833,-14.95,74.23,98,100,3.91,light rain
27,Castro,BR,-24.7911,-50.0119,43.18,94,36,4.72,scattered clouds
28,Saint-Leu,RE,-21.15,55.2833,65.26,81,46,18.52,light rain
29,Busselton,AU,-33.65,115.3333,57.65,66,61,1.74,broken clouds
30,Kaitangata,NZ,-46.2817,169.8464,49.93,59,87,8.81,overcast clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,55.13,58,0,3.0,clear sky
32,Lagoa,PT,39.05,-27.9833,71.11,91,5,8.61,clear sky
33,Bermejo,AR,-32.8833,-68.8,49.91,53,0,3.44,clear sky
34,Beisfjord,NO,68.3751,17.5988,52.05,98,100,4.09,overcast clouds
35,Vestmannaeyjar,IS,63.4427,-20.2734,53.78,93,100,7.99,overcast clouds
36,Vaini,TO,-21.2,-175.2,73.56,83,40,17.27,scattered clouds
37,Cherskiy,RU,68.75,161.3,41.94,86,100,8.05,light rain
